8272,4
8096,4
8240,4
8160,4
8169,4
8223,4
8073,4
8293,4
8025,4
8336,4
8000,4
8335,4
8037,4
8297,4
8100,4
8214,4
8170,4
8146,4
8213,4
8113,4
8230,4
8130,4
8182,4
8186,4
8114,4
8239,4
8047,4
8292,4
8018,4
8305,4
8025,4
8247,4
8099,4
8190,4
8175,4
8103,4
8245,4
8040,4
8281,4
8021,4
8270,4
8051,4
8208,4
8102,4
8149,4
8160,4
8096,4
8201,4
8078,4
8179,4
8109,4
8142,4
8189,4
8055,4
8256,4
7999,4
8306,4
7973,4
8312,4
7992,4
8274,4
8067,4
8215,4
8154,4
8143,4
8222,4
8099,4
8269,4
8117,4
8261,4
8154,4
8205,4
8221,4
8131,4
8275,4
8086,4
8286,4
8083,4
8247,4
8132,4
8181,4
8204,4
8107,4
8280,4
8039,4
8330,4
8006,4
8326,4
8015,4
8250,4
8054,4
8179,4
8110,4
8106,4
8167,4
8075,4
8173,4
8091,4
8155,4
8171,4
8108,4
8273,4
8082,4
8341,4
8032,4
8315,4
8023,4
8276,4
8098,4
8226,4
8171,4
8138,4
8227,4
8054,4
8263,4
8038,4
8281,4
8080,4
8250,4
8143,4
8183,4
8216,4
8127,4
8254,4
8108,4
8229,4
8143,4
8185,4
8202,4
8090,4
8259,4
8019,4
8316,4
7979,4
8312,4
7976,4
8263,4
8032,4
8198,4
8108,4
8128,4
8174,4
8069,4
8199,4
8072,4
8180,4
8113,4
8151,4
8196,4
8090,4
8248,4
8046,4
8270,4
8044,4
8240,4
8091,4
8180,4
8169,4
8112,4
8252,4
8043,4
8307,4
8011,4
8314,4
8020,4
8279,4
8071,4
8219,4
8163,4
8175,4
8229,4
8145,4
8259,4
8154,4
8208,4
8202,4
8143,4
8266,4
8073,4
8337,4
8043,4
8360,4
8035,4
8310,4
8066,4
8216,4
8126,4
8136,4
8204,4
8070,4
8260,4
8069,4
8288,4
8084,4
8222,4
8126,4
8144,4
8179,4
8083,4
8217,4
8069,4
8214,4
8097,4
8166,4
8172,4
8098,4
8246,4
8024,4
8319,4
7993,4
8341,4
8005,4
8305,4
8050,4
8239,4
8126,4
8159,4
8182,4
8106,4
8218,4
8103,4
8211,4
8131,4
8166,4
8198,4
8099,4
8267,4
8039,4
8283,4
8042,4
8277,4
8090,4
8227,4
8170,4
8143,4
8232,4
8056,4
8283,4
8006,4
8297,4
8016,4
8268,4
8072,4
8207,4
8131,4
8134,4
8185,4
8101,4
8210,4
8115,4
8184,4
8176,4
8128,4
8241,4
8039,4
8295,4
7995,4
8324,4
7993,4
8308,4
8044,4
8244,4
8125,4
8164,4
8203,4
8092,4
8233,4
8050,4
8238,4
8061,4
8191,4
8113,4
8130,4
8191,4
8088,4
8253,4
8081,4
8252,4
8126,4
8219,4
8190,4
8158,4
8273,4
8081,4
8350,4
8042,4
8381,4
8046,4
8343,4
8059,4
8254,4
8122,4
8183,4
8178,4
8094,4
8193,4
8080,4
8189,4
8125,4
8142,4
8189,4
8066,4
8230,4
8018,4
8277,4
8002,4
8267,4
8046,4
8214,4
8118,4
8143,4
8200,4
8060,4
8260,4
8020,4
8287,4
8025,4
8261,4
8068,4
8190,4
8116,4
8122,4
8189,4
8099,4
8212,4
8105,4
8190,4
8167,4
8130,4
8231,4
8058,4
8307,4
8009,4
8335,4
7998,4
8327,4
8033,4
8269,4
8122,4
8187,4
8184,4
8132,4
8258,4
8103,4
8278,4
8110,4
8226,4
8159,4
8160,4
8221,4
8091,4
8257,4
8060,4
8245,4
8086,4
8207,4
8144,4
8131,4
8209,4
8039,4
8270,4
7993,4
8310,4
7988,4
8304,4
8029,4
8250,4
8112,4
8198,4
8197,4
8136,4
8221,4
8100,4
8187,4
8114,4
8133,4
8185,4
8077,4
8272,4
8029,4
8307,4
8015,4
8304,4
8045,4
8246,4
8115,4
8165,4
8181,4
8088,4
8240,4
8033,4
8272,4
8034,4
8255,4
8066,4
8196,4
8142,4
8139,4
8215,4
8115,4
8252,4
8126,4
8227,4
8181,4
8164,4
8245,4
8083,4
8322,4
8025,4
8345,4
7994,4
8337,4
8036,4
8284,4
8114,4
8217,4
8188,4
8153,4
8238,4
8112,4
8272,4
8138,4
8246,4
8179,4
8159,4
8232,4
8097,4
8278,4
8064,4
8280,4
8071,4
8237,4
8138,4
8159,4
8205,4
8067,4
8268,4
8010,4
8315,4
7997,4
8297,4
8017,4
8219,4
8066,4
8154,4
8133,4
8099,4
8172,4
8087,4
8186,4
8116,4
8123,4
8175,4
8064,4
8240,4
8001,4
8288,4
7987,4
8305,4
8018,4
8254,4
8097,4
8182,4
8165,4
8115,4
8236,4
8063,4
8279,4
8053,4
8259,4
8086,4
8195,4
8146,4
8130,4
8211,4
8098,4
8229,4
8089,4
8207,4
8140,4
8154,4
8220,4
8077,4
8284,4
8009,4
8330,4
7985,4
8333,4
8027,4
8303,4
8097,4
8222,4
8162,4
8143,4
8204,4
8090,4
8207,4
8089,4
8169,4
8129,4
8118,4
8210,4
8061,4
8266,4
8032,4
8281,4
8053,4
8250,4
8110,4
8188,4
8196,4
8108,4
8271,4
8042,4
8316,4
8018,4
8315,4
8050,4
8264,4
8098,4
8192,4
8172,4
8134,4
8213,4
8113,4
8220,4
8149,4
8171,4
8213,4
8102,4
8269,4
8029,4
8315,4
7987,4
8315,4
8011,4
8279,4
8083,4
8210,4
8160,4
8134,4
8214,4
8064,4
8249,4
8057,4
8255,4
8081,4
8167,4
8118,4
8095,4
8177,4
8053,4
8211,4
8050,4
8196,4
8108,4
8151,4
8181,4
8088,4
8267,4
8018,4
8327,4
7990,4
8329,4
8013,4
8301,4
8078,4
8233,4
8169,4
8178,4
8233,4
8145,4
8268,4
8146,4
8221,4
8176,4
8146,4
8235,4
8079,4
8295,4
8039,4
8301,4
8029,4
8254,4
8088,4
8194,4
8165,4
8125,4
8259,4
8069,4
8307,4
8026,4
8293,4
8036,4
8237,4
8089,4
8177,4
8146,4
8115,4
8184,4
8086,4
8195,4
8115,4
8151,4
8172,4
8081,4
8247,4
8024,4
8321,4
7998,4
8332,4
8006,4
8294,4
8062,4
8229,4
8151,4
8160,4
8218,4
8096,4
8251,4
8078,4
8248,4
8102,4
8198,4
8157,4
8120,4
8232,4
8083,4
8260,4
8069,4
8231,4
8110,4
8166,4
8175,4
8110,4
8265,4
8038,4
8335,4
8017,4
8338,4
8012,4
8295,4
8055,4
8217,4
8123,4
8145,4
8178,4
8094,4
8178,4
8089,4
8154,4
8120,4
8093,4
8191,4
8031,4
8260,4
8001,4
8293,4
8013,4
8271,4
8086,4
8223,4
8174,4
8153,4
8247,4
8088,4
8306,4
8056,4
8302,4
8055,4
8253,4
8102,4
8191,4
8174,4
8121,4
8222,4
8107,4
8237,4
8147,4
8203,4
8206,4
8131,4
8274,4
8057,4
8338,4
8007,4
8341,4
7995,4
8286,4
8040,4
8223,4
8118,4
8160,4
8196,4
8099,4
8241,4
8093,4
8249,4
8126,4
8201,4
8193,4
8145,4
8262,4
8087,4
8278,4
8058,4
8246,4
8094,4
8189,4
8171,4
8123,4
8244,4
8043,4
8310,4
8006,4
8327,4
8017,4
8304,4
8067,4
8245,4
8155,4
8178,4
8209,4
8137,4
8234,4
8129,4
8203,4
8180,4
8135,4
8241,4
8081,4
8311,4
8041,4
8319,4
8013,4
8285,4
8045,4
8201,4
8105,4
8111,4
8172,4
8038,4
8234,4
8020,4
8249,4
8023,4
8202,4
8070,4
8142,4
8130,4
8079,4
8174,4
8054,4
8179,4
8073,4
8147,4
8139,4
8079,4
8229,4
8024,4
8299,4
7991,4
8330,4
7993,4
8330,4
8063,4
8274,4
8148,4
8206,4
8222,4
8158,4
8257,4
8117,4
8263,4
8147,4
8213,4
8216,4
8149,4
8297,4
8130,4
8341,4
8101,4
8314,4
8134,4
8245,4
8182,4
8159,4
8242,4
8063,4
8307,4
8024,4
8323,4
8007,4
8271,4
8031,4
8196,4
8094,4
8125,4
8150,4
8085,4
8167,4
8066,4
8136,4
8102,4
8078,4
8183,4
8021,4
8262,4
7984,4
8310,4
8009,4
8307,4
8047,4
8246,4
8119,4
8161,4
8179,4
8065,4
8214,4
8012,4
8216,4
8019,4
8176,4
8073,4
8135,4
8149,4
8096,4
8218,4
8058,4
8204,4
8066,4
8169,4
8142,4
8130,4
8247,4
8084,4
8339,4
8025,4
8358,4
8011,4
8337,4
8047,4
8278,4
8120,4
8186,4
8170,4
8109,4
8206,4
8088,4
8222,4
8113,4
8171,4
8172,4
8090,4
8226,4
8041,4
8288,4
8057,4
8319,4
8106,4
8261,4
8161,4
8193,4
8261,4
8132,4
8334,4
8063,4
8354,4
8084,4
8377,4
8177,4
8339,4
8223,4
8263,4
8269,4
8178,4
8258,4
8117,4
8185,4
8136,4
8106,4
8195,4
8050,4
8285,4
8026,4
8338,4
7994,4
8302,4
7996,4
8226,4
8050,4
8141,4
8121,4
8050,4
8173,4
8009,4
8184,4
8016,4
8171,4
8089,4
8149,4
8186,4
8101,4
8248,4
8102,4
8284,4
8141,4
8276,4
8210,4
8199,4
8243,4
8071,4
8269,4
7970,4
8272,4
7923,4
8247,4
7937,4
8175,4
8013,4
8141,4
8127,4
8090,4
8168,4
8091,4
8244,4
8196,4
8270,4
8288,4
8197,4
8324,4
8117,4
8366,4
8108,4
8392,4
8119,4
8286,4
8117,4
8144,4
8140,4
8033,4
8194,4
7968,4
8211,4
7953,4
8210,4
8014,4
8199,4
8111,4
8146,4
8191,4
8140,4
8290,4
8175,4
8244,4
8167,4
8161,4
8216,4
8079,4
8296,4
8019,4
8331,4
8001,4
8342,4
8027,4
8290,4
8114,4
8249,4
8210,4
8190,4
8276,4
8126,4
8273,4
8092,4
8237,4
8134,4
8186,4
8251,4
8185,4
8355,4
8195,4
8394,4
8204,4
8346,4
8226,4
8235,4
8272,4
8146,4
8316,4
8038,4
8333,4
7995,4
8297,4
7991,4
8218,4
8030,4
8149,4
8098,4
8072,4
8127,4
8039,4
8140,4
8077,4
8124,4
8156,4
8074,4
8219,4
8012,4
8274,4
7991,4
8298,4
8024,4
8261,4
8073,4
8158,4
8131,4
8081,4
8205,4
8012,4
8231,4
7990,4
8208,4
8004,4
8145,4
8062,4
8099,4
8121,4
8056,4
8166,4
8042,4
8165,4
8084,4
8118,4
8156,4
8034,4
8227,4
7976,4
8291,4
7957,4
8310,4
7996,4
8281,4
8062,4
8223,4
8154,4
8146,4
8189,4
8071,4
8194,4
8050,4
8154,4
8084,4
8109,4
8151,4
8068,4
8225,4
8024,4
8237,4
8027,4
8208,4
8070,4
8152,4
8152,4
8077,4
8231,4
8016,4
8312,4
8005,4
8333,4
8049,4
8319,4
8147,4
8267,4
8232,4
8220,4
8259,4
8131,4
8246,4
8146,4
8193,4
8201,4
8097,4
8230,4
8009,4
8278,4
7981,4
8291,4
7986,4
8253,4
8033,4
8178,4
8125,4
8126,4
8238,4
8083,4
8290,4
8080,4
8291,4
8101,4
8270,4
8206,4
8234,4
8274,4
8159,4
8299,4
8168,4
8303,4
8185,4
8193,4
8180,4
8076,4
8241,4
7987,4
8283,4
7956,4
8295,4
7946,4
8225,4
8004,4
8184,4
8109,4
8141,4
8186,4
8074,4
8169,4
8054,4
8197,4
8174,4
8239,4
8282,4
8145,4
8327,4
8104,4
8377,4
8151,4
8360,4
8184,4
8276,4
8237,4
8181,4
8285,4
8081,4
8330,4
8029,4
8304,4
8016,4
8262,4
8062,4
8183,4
8136,4
8158,4
8218,4
8113,4
8211,4
8114,4
8171,4
8175,4
8097,4
8245,4
8041,4
8320,4
8022,4
8352,4
8032,4
8344,4
8119,4
8285,4
8174,4
8183,4
8240,4
8134,4
8303,4
8098,4
8283,4
8085,4
8197,4
8108,4
8097,4
8149,4
8052,4
8209,4
8057,4
8221,4
8091,4
8172,4
8166,4
8113,4
8245,4
8039,4
8330,4
7988,4
8295,4
7926,4
8194,4
7925,4
8068,4
7937,4
7958,4
7965,4
7894,4
7981,4
7879,4
7979,4
7968,4
8014,4
8081,4
7973,4
8169,4
7996,4
8310,4
8100,4
8407,4
8221,4
8361,4
8300,4
8311,4
8442,4
8322,4
8575,4
8347,4
8598,4
8350,4
8567,4
8387,4
8481,4
8408,4
8364,4
8397,4
8283,4
8354,4
8227,4
8249,4
8215,4
8152,4
8259,4
8043,4
8296,4
7968,4
8302,4
7949,4
8234,4
7963,4
8165,4
8034,4
8071,4
8102,4
8009,4
8145,4
7974,4
8135,4
7977,4
8077,4
8028,4
8017,4
8085,4
7964,4
8115,4
7945,4
8113,4
7976,4
8100,4
8079,4
8042,4
8162,4
7975,4
8233,4
7945,4
8270,4
7943,4
8250,4
8002,4
8203,4
8085,4
8159,4
8187,4
8141,4
8261,4
8158,4
8251,4
8179,4
8186,4
8236,4
8089,4
8293,4
8040,4
8327,4
8053,4
8341,4
8115,4
8272,4
8154,4
8169,4
8216,4
8071,4
8250,4
8009,4
8264,4
8005,4
8197,4
8020,4
8121,4
8064,4
8043,4
8093,4
7986,4
8109,4
8003,4
8067,4
8037,4
8003,4
8121,4
7948,4
8190,4
7903,4
8273,4
7964,4
8310,4
8035,4
8269,4
8142,4
8234,4
8262,4
8218,4
8352,4
8231,4
8417,4
8303,4
8405,4
8376,4
8371,4
8450,4
8307,4
8464,4
8236,4
8417,4
8233,4
8353,4
8262,4
8217,4
8267,4
8068,4
8281,4
7999,4
8312,4
7978,4
8260,4
7979,4
8171,4
8027,4
8082,4
8064,4
8003,4
8072,4
7965,4
8041,4
7992,4
8003,4
8069,4
7960,4
8149,4
7923,4
8213,4
7923,4
8222,4
7967,4
8182,4
8045,4
8133,4
8190,4
8132,4
8282,4
8079,4
8289,4
8043,4
8251,4
8068,4
8144,4
8095,4
8069,4
8144,4
8042,4
8154,4
8019,4
8126,4
8128,4
8184,4
8337,4
8241,4
8517,4
8239,4
8559,4
8219,4
8538,4
8233,4
8447,4
8220,4
8283,4
8202,4
8135,4
8206,4
8071,4
8154,4
8008,4
8069,4
7996,4
7937,4
8003,4
7864,4
8057,4
7888,4
8142,4
7953,4
8110,4
7988,4
8037,4
8113,4
8005,4
8188,4
7904,4
8119,4
7776,4
8008,4
7789,4
8056,4
7937,4
8033,4
8097,4
8187,4
8426,4
8435,4
8608,4
8601,4
8560,4
8525,4
8382,4
8576,4
8365,4
8659,4
8370,4
8713,4
8471,4
8723,4
8554,4
8692,4
8677,4
8572,4
8635,4
8426,4
8567,4
8312,4
8412,4
8218,4
8268,4
8204,4
8146,4
8234,4
8074,4
8205,4
8034,4
8144,4
8053,4
8063,4
8117,4
7971,4
8168,4
7888,4
8187,4
7854,4
8179,4
7872,4
8129,4
7919,4
8039,4
7975,4
7967,4
8032,4
7938,4
8039,4
7904,4
7956,4
7930,4
7899,4
7983,4
7817,4
8011,4
7779,4
8027,4
7795,4
7988,4
7828,4
7902,4
7895,4
7797,4
7955,4
7757,4
8048,4
7826,4
8135,4
7963,4
8236,4
8174,4
8361,4
8448,4
8437,4
8504,4
8388,4
8469,4
8404,4
8419,4
8448,4
8311,4
8439,4
8165,4
8425,4
8080,4
8385,4
8047,4
8300,4
8092,4
8215,4
8142,4
8121,4
8197,4
8049,4
8223,4
8039,4
8190,4
8063,4
8145,4
8129,4
8078,4
8147,4
7941,4
8025,4
7806,4
7915,4
7797,4
7861,4
7876,4
7762,4
7978,4
7789,4
8123,4
7806,4
8125,4
7835,4
8138,4
7978,4
8211,4
8235,4
8325,4
8442,4
8435,4
8608,4
8583,4
8697,4
8609,4
8485,4
8520,4
8315,4
8500,4
8222,4
8466,4
8178,4
8393,4
8186,4
8284,4
8224,4
8168,4
8275,4
8092,4
8321,4
8038,4
8287,4
8031,4
8211,4
8051,4
8107,4
8097,4
8049,4
8114,4
7991,4
8080,4
7991,4
8037,4
8060,4
7977,4
8163,4
7922,4
8209,4
7907,4
8266,4
7955,4
8273,4
8044,4
8186,4
8063,4
8097,4
8161,4
8044,4
8180,4
8005,4
8136,4
8036,4
8135,4
8231,4
8258,4
8391,4
8257,4
8449,4
8234,4
8372,4
8190,4
8249,4
8218,4
8138,4
8266,4
8034,4
8303,4
7995,4
8338,4
8026,4
8274,4
7997,4
8097,4
7998,4
8023,4
8059,4
7968,4
8053,4
7918,4
7936,4
7877,4
7802,4
7899,4
7752,4
7970,4
7762,4
8104,4
7894,4
8216,4
8050,4
8276,4
8251,4
8281,4
8365,4
8245,4
8528,4
8417,4
8774,4
8603,4
8761,4
8594,4
8596,4
8548,4
8439,4
8467,4
8287,4
8361,4
8227,4
8266,4
8237,4
8128,4
8247,4
8009,4
8285,4
7964,4
8322,4
8009,4
8341,4
8123,4
8327,4
8173,4
8181,4
8161,4
8004,4
8071,4
7917,4
8038,4
7956,4
8006,4
8018,4
7927,4
8030,4
7838,4
8004,4
7768,4
7991,4
7828,4
7914,4
7909,4
7955,4
8164,4
8048,4
8360,4
8103,4
8440,4
8173,4
8489,4
8286,4
8464,4
8435,4
8534,4
8561,4
8436,4
8461,4
8313,4
8349,4
8317,4
8273,4
8373,4
8190,4
8413,4
8114,4
8404,4
8090,4
8363,4
8073,4
8220,4
8076,4
8065,4
8086,4
7933,4
8040,4
7818,4
7988,4
7772,4
7915,4
7815,4
7873,4
7878,4
7832,4
7960,4
7849,4
8024,4
7968,4
8126,4
8193,4
8232,4
8407,4
8202,4
8431,4
8136,4
8511,4
8238,4
8559,4
8252,4
8431,4
8280,4
8352,4
8353,4
8282,4
8353,4
8177,4
8270,4
8148,4
8193,4
8223,4
8150,4
8291,4
8087,4
8321,4
8077,4
8308,4
8091,4
8222,4
8126,4
8121,4
8184,4
8018,4
8232,4
7966,4
8241,4
7959,4
8213,4
7992,4
8153,4
8038,4
8056,4
8060,4
7969,4
8042,4
7922,4
7958,4
7900,4
7843,4
7918,4
7736,4
7966,4
7703,4
8002,4
7680,4
7998,4
7748,4
8044,4
7999,4
8174,4
8228,4
8148,4
8326,4
8164,4
8331,4
8147,4
8346,4
8337,4
8451,4
8520,4
8445,4
8558,4
8407,4
8525,4
8383,4
8485,4
8421,4
8402,4
8488,4
8300,4
8532,4
8226,4
8524,4
8157,4
8464,4
8162,4
8356,4
8168,4
8204,4
8134,4
8028,4
8062,4
7944,4
8026,4
7951,4
7991,4
8004,4
7886,4
7986,4
7750,4
7941,4
7614,4
7783,4
7497,4
7726,4
7668,4
7781,4
7942,4
7941,4
8197,4
8023,4
8307,4
8049,4
8340,4
8257,4
8572,4
8565,4
8577,4
8653,4
8688,4
8852,4
8780,4
8844,4
8730,4
8622,4
8605,4
8360,4
8512,4
8196,4
8471,4
8094,4
8386,4
8049,4
8253,4
8051,4
8114,4
8032,4
7920,4
7972,4
7786,4
7881,4
7694,4
7840,4
7764,4
7785,4
7778,4
7640,4
7779,4
7574,4
7746,4
7631,4
7875,4
7957,4
8183,4
8435,4
8360,4
8511,4
8194,4
8499,4
8167,4
8507,4
8282,4
8565,4
8469,4
8617,4
8593,4
8566,4
8597,4
8445,4
8489,4
8374,4
8366,4
8359,4
8230,4
8349,4
8112,4
8372,4
8068,4
8327,4
8052,4
8266,4
8114,4
8179,4
8163,4
8084,4
8213,4
7989,4
8206,4
7942,4
8160,4
7965,4
8094,4
8017,4
8024,4
8046,4
7964,4
8079,4
7973,4
8067,4
8026,4
8038,4
8112,4
7986,4
8195,4
7953,4
8278,4
7948,4
8284,4
7930,4
8160,4
7909,4
7972,4
7891,4
7854,4
7914,4
7789,4
7920,4
7780,4
7902,4
7855,4
7913,4
7990,4
7905,4
8048,4
7940,4
8332,4
8313,4
8566,4
8455,4
8507,4
8543,4
8406,4
8521,4
8206,4
8435,4
8079,4
8365,4
8069,4
8293,4
8087,4
8192,4
8126,4
8078,4
8114,4
8002,4
8093,4
8047,4
8149,4
8246,4
8193,4
8368,4
8126,4
8350,4
7995,4
8247,4
8002,4
8332,4
8210,4
8338,4
8335,4
8334,4
8499,4
8315,4
8399,4
8056,4
8243,4
8059,4
8209,4
8122,4
8116,4
8161,4
8103,4
8314,4
8230,4
8394,4
8307,4
8309,4
8344,4
8210,4
8365,4
8063,4
8342,4
7976,4
8309,4
7992,4
8249,4
7980,4
8095,4
7984,4
7950,4
7973,4
7891,4
8067,4
7979,4
8088,4
8022,4
8003,4
8026,4
7902,4
8072,4
7906,4
8188,4
8039,4
8361,4
8369,4
8484,4
8382,4
8183,4
8248,4
8014,4
8309,4
8020,4
8338,4
8100,4
8364,4
8210,4
8306,4
8232,4
8199,4
8229,4
8125,4
8244,4
8108,4
8101,4
8084,4
8003,4
8143,4
7930,4
8210,4
7949,4
8333,4
8016,4
8268,4
8048,4
8225,4
8170,4
8187,4
8266,4
8134,4
8313,4
8097,4
8275,4
8073,4
8187,4
8106,4
8102,4
8133,4
7961,4
8055,4
7910,4
8063,4
8024,4
8159,4
8210,4
8106,4
8234,4
7984,4
8315,4
8058,4
8453,4
8117,4
8412,4
8201,4
8411,4
8292,4
8332,4
8393,4
8294,4
8363,4
8250,4
8294,4
8210,4
8195,4
8233,4
8079,4
8246,4
7996,4
8245,4
7993,4
8210,4
8010,4
8144,4
8077,4
8043,4
8182,4
8010,4
8252,4
8004,4
8304,4
8053,4
8308,4
8144,4
8279,4
8227,4
8180,4
8183,4
8061,4
8155,4
8078,4
8152,4
8173,4
8131,4
8300,4
8087,4
8343,4
8028,4
8381,4
8082,4
8382,4
8110,4
8257,4
8122,4
8127,4
8150,4
8030,4
8176,4
8001,4
8166,4
8013,4
8111,4
8062,4
8046,4
8088,4
7946,4
8079,4
7907,4
8072,4
7963,4
8057,4
8033,4
7984,4
8122,4
7943,4
8274,4
8040,4
8449,4
8185,4
8510,4
8285,4
8465,4
8338,4
8339,4
8321,4
8240,4
8344,4
8238,4
8301,4
8220,4
8214,4
8306,4
8135,4
8294,4
8022,4
8305,4
8038,4
8292,4
8051,4
8200,4
8109,4
8104,4
8172,4
8004,4
8174,4
7896,4
8108,4
7869,4
8074,4
7900,4
7977,4
7914,4
7872,4
7910,4
7805,4
7901,4
7781,4
7855,4
7862,4
7872,4
8034,4
7907,4
8232,4
7994,4
8355,4
8028,4
8392,4
8200,4
8515,4
8510,4
8691,4
8743,4
8687,4
8759,4
8522,4
8562,4
8368,4
8439,4
8356,4
8304,4
8351,4
8179,4
8342,4
8131,4
8320,4
8137,4
8244,4
8202,4
8172,4
8262,4
8049,4
8248,4
7957,4
8268,4
7940,4
8213,4
7945,4
8121,4
7994,4
8058,4
8097,4
8083,4
8197,4
8073,4
8121,4
8045,4
8035,4
8102,4
7967,4
8134,4
7850,4
8090,4
7797,4
8009,4
7712,4
7920,4
7789,4
7846,4
7936,4
7912,4
8157,4
8034,4
8379,4
8299,4
8649,4
8614,4
8716,4
8607,4
8505,4
8517,4
8347,4
8396,4
8212,4
8270,4
8234,4
8224,4
8344,4
8184,4
8422,4
8103,4
8408,4
8023,4
8318,4
8003,4
8205,4
7988,4
8034,4
7991,4
7932,4
8013,4
7897,4
8043,4
7951,4
8062,4
8033,4
7977,4
8066,4
7983,4
8286,4
8157,4
8453,4
8275,4
8408,4
8280,4
8275,4
8305,4
8149,4
8358,4
8100,4
8383,4
8046,4
8313,4
8056,4
8256,4
8111,4
8162,4
8122,4
8072,4
8165,4
8083,4
8183,4
8125,4
8105,4
8149,4
8006,4
8185,4
7934,4
8221,4
7906,4
8197,4
7919,4
8153,4
7998,4
8103,4
8114,4
8029,4
8165,4
7988,4
8188,4
7983,4
8146,4
8006,4
8101,4
8090,4
8079,4
8174,4
8059,4
8237,4
8129,4
8266,4
8195,4
8200,4
8263,4
8126,4
8369,4
8094,4
8411,4
8050,4
8378,4
8056,4
8313,4
8140,4
8269,4
8241,4
8221,4
8302,4
8188,4
8298,4
8160,4
8207,4
8170,4
8090,4
8153,4
7963,4
8112,4
7830,4
8023,4
7772,4
7970,4
7824,4
7873,4
7893,4
7801,4
7949,4
7701,4
8008,4
7825,4
8191,4
8030,4
8303,4
8243,4
8390,4
8488,4
8502,4
8596,4
8465,4
8541,4
8519,4
8597,4
8686,4
8525,4
8600,4
8288,4
8509,4
8143,4
8462,4
8151,4
8404,4
8197,4
8313,4
8263,4
8220,4
8292,4
8101,4
8235,4
8014,4
8172,4
8036,4
8107,4
8082,4
8023,4
8095,4
7940,4
8096,4
7952,4
8110,4
8042,4
8101,4
8143,4
8050,4
8252,4
7963,4
8170,4
7769,4
8059,4
7780,4
8040,4
7881,4
8057,4
8059,4
8080,4
8117,4
8020,4
8139,4
8079,4
8207,4
8277,4
8288,4
8452,4
8328,4
8564,4
8309,4
8496,4
8175,4
8344,4
8150,4
8241,4
8233,4
8158,4
8267,4
8063,4
8312,4
8033,4
8297,4
8071,4
8274,4
8126,4
8178,4
8181,4
8109,4
8190,4
8084,4
8184,4
8091,4
8124,4
8160,4
8043,4
8218,4
7995,4
8299,4
7967,4
8290,4
7952,4
8214,4
7987,4
8150,4
8090,4
8089,4
8183,4
8071,4
8233,4
8074,4
8276,4
8224,4
8297,4
8287,4
8194,4
8284,4
8097,4
8272,4
8066,4
8210,4
8073,4
8125,4
8105,4
7986,4
8135,4
7867,4
8110,4
7779,4
8075,4
7779,4
8031,4
7832,4
8010,4
8001,4
8052,4
8096,4
8020,4
8140,4
8082,4
8146,4
8165,4
8146,4
8273,4
8098,4
8373,4
8177,4
8518,4
8261,4
8484,4
8235,4
8336,4
8290,4
8281,4
8392,4
8217,4
8404,4
8125,4
8325,4
8061,4
8240,4
8151,4
8282,4
8344,4
8340,4
8465,4
8343,4
8431,4
8310,4
8306,4
8278,4
8176,4
8301,4
8049,4
8323,4
7984,4
8294,4
7925,4
8202,4
7947,4
8109,4
8007,4
8040,4
8100,4
8013,4
8149,4
8032,4
8213,4
8150,4
8212,4
8214,4
8120,4
8242,4
8044,4
8240,4
8050,4
8242,4
8064,4
8142,4
8144,4
8124,4
8266,4
8050,4
8301,4
7974,4
8256,4
7921,4
8167,4
7937,4
8066,4
7989,4
8009,4
8073,4
8016,4
8116,4
8055,4
8123,4
8138,4
8132,4
8299,4
8116,4
8376,4
8101,4
8384,4
8084,4
8395,4
8168,4
8285,4
8150,4
8110,4
8165,4
8007,4
8153,4
7905,4
8086,4
7861,4
7972,4
7848,4
7899,4
7934,4
7895,4
8049,4
7982,4
8204,4
8183,4
8367,4
8482,4
8453,4
8573,4
8314,4
8517,4
8128,4
8466,4
8162,4
8515,4
8264,4
8371,4
8165,4
8143,4
8090,4
7971,4
8043,4
7894,4
8000,4
7935,4
7985,4
8042,4
8022,4
8204,4
8023,4
8297,4
8099,4
8344,4
8192,4
8368,4
8364,4
8380,4
8517,4
8410,4
8671,4
8381,4
8607,4
8231,4
8422,4
8174,4
8301,4
8191,4
8195,4
8228,4
8121,4
8204,4
8113,4
8180,4
8156,4
8097,4
8184,4
7979,4
8193,4
7890,4
8189,4
7874,4
8150,4
7900,4
8090,4
7935,4
7961,4
7974,4
7858,4
7999,4
7840,4
8038,4
7892,4
8037,4
7945,4
7996,4
8061,4
7997,4
8144,4
8017,4
8171,4
8054,4
8207,4
8256,4
8316,4
8532,4
8352,4
8588,4
8331,4
8669,4
8324,4
8575,4
8248,4
8413,4
8228,4
8237,4
8150,4
7975,4
7973,4
7807,4
7880,4
7806,4
7833,4
7852,4
7781,4
7943,4
7726,4
7903,4
7601,4
7887,4
7738,4
8025,4
8080,4
8284,4
8570,4
8584,4
8801,4
8522,4
8737,4
8419,4
8666,4
8511,4
8655,4
8545,4
8503,4
8501,4
8374,4
8423,4
8301,4
8360,4
8323,4
8258,4
8312,4
8112,4
8328,4
8022,4
8327,4
7980,4
8282,4
7986,4
8202,4
8031,4
8089,4
8067,4
7975,4
8039,4
7847,4
8006,4
7825,4
7944,4
7873,4
7900,4
7953,4
7839,4
7996,4
7896,4
8139,4
8088,4
8291,4
8269,4
8290,4
8435,4
8315,4
8542,4
8171,4
